Breed,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,grooming_frequency_value,shedding_value,energy_level_value,trainability_value,demeanor_value,Cluster
Sussex Spaniel,180,33.02,38.1,15.87573295,20.41165665,13,15,0.6,0.6,0.6,0.4,0.4,19
Broholmer,,69.85,74.93,40.8233133,68.0388555,8,10,0.2,0.6,0.4,,,20
Carolina Dog,,45.085,49.53,13.6077711,24.94758035,,,0.2,0.6,0.6,1,0.6,20
Drentsche Patrijshond,,53.34,63.5,21.77243376,33.11224301,11,14,0.4,0.8,0.8,0.6,0.4,20
Kromfohrlander,,38.1,45.72,9.0718474,15.87573295,13,15,0.6,0.8,0.6,0.6,0.4,20
Russian Toy,,20.32,27.94,2.948350405,2.948350405,12,14,0.4,0.2,0.6,0.6,0.8,20
Thai Ridgeback,,50.8,60.96,15.87573295,34.01942775,12,13,0.2,0.6,0.8,0.4,0.4,20
Tibetan Terrier,96,35.56,43.18,8.16466266,13.6077711,15,16,0.6,0.6,0.8,0.4,0.4,20
Boston Terrier," Amusing""",21,38.1,43.18,5.44310844,11.33980925,11,Non-Sporting Group,Weekly Brushing,Infrequent,Regular Exercise,Eager to Please,21
Dachshund,12,12.7,22.86,4.98951607,14.51495584,12,16,0.4,0.4,0.6,0.6,0.6,21
Dandie Dinmont Terrier,176,20.32,27.94,8.16466266,10.88621688,12,15,0.8,0.2,0.6,0.4,0.4,21
Pug,28,25.4,33.02,6.35029318,8.16466266,13,15,0.4,0.8,0.6,0.6,0.8,21
Sealyham Terrier,164,26.67,26.67,10.43262451,10.88621688,12,14,0.6,0.6,0.6,0.4,0.6,21
German Shepherd Dog,2,55.88,66.04,22.6796185,40.8233133,7,10,0.4,0.8,0.6,1,0.6,22
German Wirehaired Pointer,63,55.88,66.04,22.6796185,31.7514659,14,16,0.4,0.8,1,1,0.4,22
Wirehaired Vizsla,167,54.61,63.5,20.41165665,29.48350405,12,14,0.2,0.6,0.8,0.6,0.6,22
Bavarian Mountain Scent Hound,,43.18,52.07,16.78291769,29.93709642,12,15,0.4,0.8,0.6,0.6,0.4,23
Deutscher Wachtelhund,,45.72,53.34,18.1436948,24.94758035,12,14,0.4,,0.6,,,23
